Ticker,Book Value,LTP
ATLANTA.NS,-65.535,8.25
ATNINTER.NS,-0.593,0.2
AURIONPRO.NS,244.529,93.7
AYMSYNTEX.NS,89.31,36.95
BAGFILMS.NS,9.697,3.2
BAJAJHIND.NS,22.53,6.15
BALLARPUR.NS,-7.379,1.5
BANG.NS,65.175,30.0
BANKBARODA.NS,167.763,62.4
BANKINDIA.NS,141.64,49.4
BARTRONICS.NS,59.278,3.15
BEDMUTHA.NS,-78.547,26.95
BFUTILITIE.NS,-46.286,285.55
BGLOBAL.NS,55.307,1.1
BGRENERGY.NS,132.093,47.1
BHEL.NS,78.286,35.25
BINANIIND.NS,-158.391,5.55
BINDALAGRO.NS,94.265,16.6
BLBLIMITED.NS,14.313,5.8
BLKASHYAP.NS,20.847,9.1
BLUEBLENDS.NS,-19.007,0.8
BLUECHIP.NS,-0.035,0.4
BLUECOAST.NS,-75.654,4.95
BSELINFRA.NS,47.438,1.1
BSL.NS,71.518,33.55
BURNPUR.NS,-22.076,2.35
BVCL.NS,52.302,16.3
A2ZINFRA.NS,21.642,4.85
AARVEEDEN.NS,98.48,18.95
ABAN.NS,-2622.449,28.8
ADSL.NS,91.359,32.25
AHLEAST.NS,658.803,163.9
AIFL.NS,-108.894,1.55
ALCHEM.NS,-282.733,7.45
ALMONDZ.NS,64.625,20.2
ALPSINDUS.NS,-150.11,1.8
AMDIND.NS,65.302,19.6
ANANTRAJ.NS,83.353,26.45
ANDHRACEMT.NS,-20.133,5.95
ANIKINDS.NS,155.67,17.2
ANKITMETAL.NS,-49.665,1.5
ANSALAPI.NS,-7.256,9.8
ANSALHSG.NS,36.543,6.1
ANTGRAPHIC.NS,1.076,0.5
ARCHIES.NS,31.587,14.05
ARCOTECH.NS,9.326,2.75
ARIHANT.NS,128.663,23.55
AROGRANITE.NS,119.61,47.55
ARSHIYA.NS,-2.44,16.8
ARVIND.NS,112.722,46.8
ASAL.NS,-53.303,25.15
ASIANHOTNR.NS,318.883,73.2
ATLANTA.NS,-65.535,8.25
ATNINTER.NS,-0.672,0.2
AURIONPRO.NS,244.529,93.7
AYMSYNTEX.NS,89.31,36.95
BAGFILMS.NS,9.697,3.2
BAJAJHIND.NS,22.53,6.15
BALLARPUR.NS,-7.379,1.5
BANG.NS,65.175,30.0
BANKBARODA.NS,167.763,62.4
BANKINDIA.NS,141.64,49.4
BARTRONICS.NS,59.278,3.15
BEDMUTHA.NS,-78.547,26.95
BGLOBAL.NS,55.307,1.1
BGRENERGY.NS,132.093,47.1
BHEL.NS,78.286,35.25
BINANIIND.NS,-189.212,5.55
BINDALAGRO.NS,94.265,16.6
BLBLIMITED.NS,14.313,5.8
BLKASHYAP.NS,19.195,9.1
BLUEBLENDS.NS,-19.007,0.8
BLUECHIP.NS,-0.035,0.4
BLUECOAST.NS,-75.654,4.95
BSELINFRA.NS,47.438,1.1
BSL.NS,71.518,33.55
BURNPUR.NS,-22.076,2.35
BVCL.NS,52.302,16.3
BYKE.NS,43.02,19.2
CANBK.NS,397.125,125.25
CANDC.NS,-1.064,6.65
CASTEXTECH.NS,-31.531,0.5
CCCL.NS,-8.599,0.65
CCHHL.NS,24.065,5.35
CELESTIAL.NS,45.564,1.75
CENTENKA.NS,459.87,209.55
CENTRALBK.NS,37.798,14.05
CHROMATIC.NS,49.903,0.9
CIMMCO.NS,68.372,21.8
CINEVISTA.NS,25.936,7.25
CNOVAPETRO.NS,28.026,7.05
COFFEEDAY.NS,192.646,26.35
CONSOFINVT.NS,374.023,42.8
CORDSCABLE.NS,107.126,45.85
CREATIVEYE.NS,13.393,4.05
CREST.NS,200.21,98.1
CUBEXTUB.NS,40.968,17.95
CURATECH.NS,-0.036,1.6
CYBERMEDIA.NS,-11.231,2.7
DBREALTY.NS,65.49,13.9
DCM.NS,-7.696,27.9
DHANBANK.NS,33.252,13.3
DHARSUGAR.NS,-30.937,5.7
DHFL.NS,-242.549,28.3
DHUNINV.NS,2372.237,254.65
DIAPOWER.NS,20.203,1.25
DOLPHINOFF.NS,347.224,3.8
DQE.NS,20.35,1.45
EASTSILK.NS,-2.903,1.4
EASUNREYRL.NS,45.742,3.0
EDUCOMP.NS,17.731,3.6
ELECON.NS,76.462,38.1
ELECTCAST.NS,63.355,20.9
ELECTHERM.NS,-913.839,114.7
EMCO.NS,-42.161,2.1
EON.NS,44.566,6.4
EROSMEDIA.NS,130.474,23.55
ESSARSHPNG.NS,-216.014,10.3
ESSDEE.NS,-399.322,1.95
EUROCERA.NS,-161.482,1.8
EUROMULTI.NS,-142.109,2.0
EUROTEXIND.NS,-2.546,8.35
EXCEL.NS,18,2.6
FACT.NS,-6.566,54.35
FCSSOFT.NS,1.788,0.75
FLEXITUFF.NS,46.548,14.8
GAL.NS,-5.101,3.15
GALLANTT.NS,81.867,38.85
GAMMNINFRA.NS,3.215,0.8
GANESHHOUC.NS,112.661,32.35
GANGOTRI.NS,-72.102,0.55
GARDENSILK.NS,-146.637,13.25
GEECEE.NS,211.491,87.15
GILLANDERS.NS,133.269,46.85
GIPCL.NS,189.579,85.75
GISOLUTION.NS,6.858,2.7
GITANJALI.NS,560.95,1.05
GLFL.NS,-2.443,2.35
GLOBOFFS.NS,-171.177,9.7
GMDCLTD.NS,141.804,50.15
GMRINFRA.NS,-0.02,25.95
GOENKA.NS,7.466,0.9
GOLDENTOBC.NS,-122.723,54.75
GOLDTECH.NS,27.001,10.2
GOODLUCK.NS,155.11,55.4
GREENPOWER.NS,7.154,2.45
GSFC.NS,191.79,73.25
GTL.NS,-474.671,5.35
GTLINFRA.NS,-0.368,0.75
GTNTEX.NS,53.957,6.45
GUJAPOLLO.NS,425.266,206.25
GVKPIL.NS,-9.396,2.95
HCC.NS,-10.823,9.0
HCL-INSYS.NS,-4.927,8.95
HDIL.NS,261.911,6.9
HEXATRADEX.NS,117.681,33.25
HILTON.NS,41.408,11.85
HINDCOMPOS.NS,528.851,223.35
HINDMOTORS.NS,-1.482,7.8
HINDNATGLS.NS,-33.635,36.2
HINDSYNTEX.NS,-1.613,1.45
HMT.NS,-132.251,22.15
HMVL.NS,206.335,56.5
HTMEDIA.NS,89.487,15.65
HUBTOWN.NS,197.035,14.35
ICSA.NS,-293.432,0.2
IDEA.NS,-9.292,10.4
IFCI.NS,26.856,9.2
IITL.NS,163.279,68.65
IMPEXFERRO.NS,-26.068,1.05
INDIANB.NS,331.391,88.45
INDLMETER.NS,95.974,17.3
INDOSOLAR.NS,-26.379,1.65
INDOWIND.NS,28.624,3.9
INDSWFTLTD.NS,-132.812,3.85
INFOMEDIA.NS,-8.413,4.3
INTEGRA.NS,-8.797,1.5
ISMTLTD.NS,-87.828,11.7
IZMO.NS,170.129,48.8
JAIBALAJI.NS,-160.358,17.8
JAIHINDPRO.NS,-356.482,1.55
JAINSTUDIO.NS,12.239,1.85
JAYNECOIND.NS,-21.807,5.05
JBFIND.NS,46.358,13.1
JETAIRWAYS.NS,-628.459,104.55
JIKIND.NS,-3.201,0.7
JINDALSAW.NS,212.272,78.1
JINDCOT.NS,16.633,1.45
JINDRILL.NS,423.599,84.75
JISLDVREQS.NS,60.217,12.55
JISLJALEQS.NS,60.217,19.0
JPINFRATEC.NS,-17.508,2.0
JPPOWER.NS,9.153,3.3
JVLAGRO.NS,-77.688,0.65
JYOTISTRUC.NS,-668.612,5.5
KAMATHOTEL.NS,-61.167,37.75
KANORICHEM.NS,123.733,43.2
KAUSHALYA.NS,12.337,1.6
KAVVERITEL.NS,22.198,1.65
KECL.NS,-11.633,13.7
KESORAMIND.NS,-12.217,62.0
KGL.NS,8.704,0.3
KHAITANLTD.NS,50.287,17.7
KICL.NS,7858.069,1407.9
KOHINOOR.NS,-140.83,8.7
KOTHARIPRO.NS,377.523,67.95
KRIDHANINF.NS,12.634,3.7
KSK.NS,-53.068,0.65
KTKBANK.NS,208.346,55.05
KWALITY.NS,-87.385,3.1
LAKPRE.NS,23.595,4.8
LOKESHMACH.NS,77.53,36.15
LYKALABS.NS,-8.695,25.6
LYPSAGEMS.NS,34.06,4.6
MADHAV.NS,123.29,38.3
MADHUCON.NS,-222.991,5.7
MADRASFERT.NS,-40.257,19.9
MAGMA.NS,105.012,42.6
MAGNUM.NS,-11.132,4.65
MAHSCOOTER.NS,9668.146,3848.6
MAJESCO.NS,1080.58,13.4
MANAKCOAT.NS,14.361,6.95
MANAKSIA.NS,150.8,58.45
MANGTIMBER.NS,-39.046,9.05
MANPASAND.NS,35.722,5.85
MANUGRAPH.NS,42.959,11.6
MAWANASUG.NS,67.395,33.65
MBECL.NS,-1.863,5.5
MBLINFRA.NS,76.359,20.0
MCDHOLDING.NS,423.617,33.9
MCLEODRUSS.NS,183.537,21.35
MEGASOFT.NS,32.877,9.2
MELSTAR.NS,-2.446,2.3
MERCATOR.NS,-39.747,1.0
METALFORGE.NS,-259.27,5.65
MIC.NS,-6.037,1.05
MOHITIND.NS,25.47,6.65
MRO-TEK.NS,-3.245,35.7
MTEDUCARE.NS,23.303,10.75
MTNL.NS,-235.033,13.8
MUKANDENGG.NS,-24.241,12.25
MURUDCERA.NS,66,20.95
MVL.NS,2.553,0.05
NAGAROIL.NS,-0.62,0.2
NAGREEKCAP.NS,19.377,5.7
NAGREEKEXP.NS,78.514,19.0
NAHARCAP.NS,552.41,92.2
NAHARINDUS.NS,175.112,47.8
NAHARSPING.NS,226.745,78.4
NAKODA.NS,23.442,0.1
NATNLSTEEL.NS,-255.452,3.2
NAVKARCORP.NS,120.037,41.3
NBVENTURES.NS,263.296,59.65
NDL.NS,94.244,27.05
NECLIFE.NS,50.111,21.5
NEXTMEDIA.NS,-3.883,5.95
NIBL.NS,-3.926,10.65
NITCO.NS,-0.028,25.1
NITINFIRE.NS,11.778,0.75
NKIND.NS,-613.063,21.45
NSIL.NS,6586.523,892.8
OIL.NS,255.161,111.15
OILCOUNTUB.NS,-10.766,6.3
OISL.NS,-31.618,2.85
OMAXAUTO.NS,118.919,43.55
OMKARCHEM.NS,-82.479,9.5
OMMETALS.NS,26922.79,19.95
ONELIFECAP.NS,61.518,6.55
OPTOCIRCUI.NS,-8.446,5.65
ORICONENT.NS,56.516,22.4
ORIENTALTL.NS,36.301,11.0
ORIENTPPR.NS,62.041,20.6
ORTEL.NS,-18.958,1.1
PAEL.NS,-36.497,2.35
PANACEABIO.NS,-22.13,231.35
PARABDRUGS.NS,-148.975,4.45
PATELENG.NS,58.65,15.25
PATINTLOG.NS,71.08,32.75
PCJEWELLER.NS,98.005,25.15
PDPL.NS,-210.694,2.6
PETRONENGG.NS,-6.386,5.25
PIONDIST.NS,-170.132,112.25
PKTEA.NS,556.318,213.0
PNB.NS,93.539,32.4
PNC.NS,57.012,20.4
PONNIERODE.NS,338.289,161.95
PRADIP.NS,-212.761,0.7
PRAENG.NS,83.035,11.4
PRAKASH.NS,168.183,53.2
PRECOT.NS,253.137,74.35
PREMIER.NS,-78.911,3.85
PSB.NS,72.389,13.55
PSL.NS,-237.725,0.45
PTC.NS,145.501,57.9
PUNJLLOYD.NS,-61.115,2.05
QUINTEGRA.NS,-4.822,0.95
RADAAN.NS,-0.558,1.05
RAINBOWPAP.NS,-22.356,0.15
RAJRAYON.NS,-17.166,0.3
RAJVIR.NS,-281.624,10.5
RAMSARUP.NS,-461.308,0.85
RANASUG.NS,15.603,7.0
RCOM.NS,-185.501,2.0
REGENCERAM.NS,-25.365,0.95
RELCAPITAL.NS,-225.767,12.55
RELINFRA.NS,349.183,27.85
RENUKA.NS,-2.638,12.35
RKDL.NS,25.381,9.15
RMCL.NS,-3.451,3.2
ROHITFERRO.NS,-176.965,1.3
ROLTA.NS,-302.865,5.6
RPOWER.NS,42.827,3.5
RPPINFRA.NS,128.407,51.8
RSWM.NS,313.087,137.8
RTNPOWER.NS,-0.972,2.45
SABTN.NS,-13.604,1.95
SAKHTISUG.NS,-22.597,10.6
SAKUMA.NS,15.927,7.15
SAMBHAAV.NS,5.541,2.15
SANGHIIND.NS,66.804,31.4
SANGHVIFOR.NS,-22.581,24.0
SANWARIA.NS,-7.692,1.35
SATHAISPAT.NS,-159.039,2.8
SATIN.NS,268.281,72.25
SCHNEIDER.NS,-0.848,84.25
SELMCL.NS,-97.738,2.15
SEZAL.NS,-42.957,3.45
SGL.NS,-4.622,8.0
SHAHALLOYS.NS,-10.724,9.05
SHARONBIO.NS,-535.636,33.0
SHEMAROO.NS,211.49,74.45
SHILPI.NS,-11.629,1.15
SHIRPUR-G.NS,32.641,8.2
SHOPERSTOP.NS,-14.56,202.4
SHREYAS.NS,170.856,67.7
SHRIRAMEPC.NS,11.458,4.55
SHYAMTEL.NS,-12.744,7.05
SICAGEN.NS,99.41,15.9
SICAL.NS,76.456,16.3
SIL.NS,-7.793,9.65
SILINV.NS,922.042,199.75
SIMBHALS.NS,-12.889,7.7
SIMPLEXINF.NS,262.117,38.5
SINTEX.NS,36.928,4.15
SITASHREE.NS,-56.355,0.3
SKIL.NS,9.578,2.85
SMPL.NS,-42.042,0.15
SOMATEX.NS,-18.035,2.8
SOUTHBANK.NS,31.276,9.05
SPARC.NS,-1.786,183.85
SPMLINFRA.NS,92.522,13.5
SPYL.NS,-2.974,0.5
SREINFRA.NS,77.335,6.7
SRIPIPES.NS,299.974,147.7
SRSLTD.NS,-45.699,0.15
STARPAPER.NS,311.214,115.5
STCINDIA.NS,-774.918,76.5
STEL.NS,339.011,69.2
STINDIA.NS,-9.169,3.3
SUJANAUNI.NS,-39.2,0.4
SUMEETINDS.NS,-7.399,2.7
SUMMITSEC.NS,3330.04,535.15
SUPERHOUSE.NS,329.689,115.2
SUPERSPIN.NS,18.66,4.8
SUPREMEINF.NS,-851.815,11.5
SURYALAXMI.NS,134.584,33.3
SUZLON.NS,-3.964,5.6
SWELECTES.NS,488.939,177.95
SYNCOM.NS,-3.726,2.25
TALWALKARS.NS,74.074,2.05
TANTIACONS.NS,-22.103,1.8
TARAPUR.NS,5.952,2.85
TATACOMM.NS,-19.229,1064.95
TATAINVEST.NS,2102.289,1012.3
TATAMTRDVR.NS,175.341,77.2
TCIFINANCE.NS,-30.672,4.95
TECHIN.NS,783.468,2.85
TECHNOFAB.NS,182.958,10.2
TEXMOPIPES.NS,81.478,20.8
TFL.NS,7.272,2.8
TGBHOTELS.NS,33.472,5.8
THIRUSUGAR.NS,190.481,4.6
TI.NS,-3.475,28.75
TNTELE.NS,-26.522,1.85
TREEHOUSE.NS,72.959,6.6
TRF.NS,-205.33,99.3
TRIGYN.NS,173.17,76.75
TTML.NS,-92.122,7.85
UJAAS.NS,9.732,2.75
UMESLTD.NS,5.29,2.4
UNIENTER.NS,318.581,69.9
UNIONBANK.NS,97.283,30.5
UNIPLY.NS,38.883,4.0
UNITECH.NS,17.634,1.85
UNITY.NS,-91.251,1.45
UNIVCABLES.NS,297.698,137.7
UTTAMSTL.NS,-262.062,7.2
VARDMNPOLY.NS,-149.272,14.8
VHL.NS,6754.025,1448.55
VICEROY.NS,-96.868,3.15
VIDEOIND.NS,-327.232,6.6
VIMALOIL.NS,-430.794,3.15
VINDHYATEL.NS,2180.175,836.65
VISASTEEL.NS,-106.571,6.4
VISESHINFO.NS,1.267,0.05
VIVIMEDLAB.NS,61.244,18.35
VLSFINANCE.NS,513.789,67.75
WANBURY.NS,-62.112,40.35
WILLAMAGOR.NS,-89.888,21.3
WINDMACHIN.NS,40.597,17.8
WINSOME.NS,-50.419,0.15
WSI.NS,-41.19,3.8
XLENERGY.NS,-28.338,0.25
ZENITHEXPO.NS,144.572,64.9
ZICOM.NS,-95.514,2.2
ZODJRDMKJ.NS,131.338,28.75
ZUARIGLOB.NS,499.429,64.15
